grid_cell_id,waste_concrete_network_input_t_per_year
NDGRD_936,0
NDGRD_937,0
NDGRD_938,0
NDGRD_939,0
NDGRD_940,0
NDGRD_941,0
NDGRD_942,0
NDGRD_943,0
NDGRD_944,0
NDGRD_945,0
NDGRD_946,0
NDGRD_947,0
NDGRD_948,0
NDGRD_949,0
NDGRD_950,0
NDGRD_951,0
NDGRD_952,0
NDGRD_953,0
NDGRD_954,0
NDGRD_955,0
NDGRD_956,0
NDGRD_957,0
NDGRD_958,0
NDGRD_959,0
NDGRD_960,0
NDGRD_961,0
NDGRD_962,0
NDGRD_963,0
NDGRD_964,0
NDGRD_965,0
NDGRD_966,0
NDGRD_967,0
NDGRD_968,0
NDGRD_969,0
NDGRD_970,0
NDGRD_971,0
NDGRD_972,0
NDGRD_973,0
NDGRD_974,0
NDGRD_975,0
NDGRD_976,0
NDGRD_977,0
NDGRD_978,0
NDGRD_979,0
NDGRD_980,0
NDGRD_981,0
NDGRD_982,0
NDGRD_983,0
NDGRD_984,0
NDGRD_985,0
NDGRD_986,0
NDGRD_987,0
NDGRD_988,0
NDGRD_989,0
NDGRD_990,0
NDGRD_991,0
NDGRD_992,0
NDGRD_993,0
NDGRD_994,0
NDGRD_995,0
NDGRD_996,0
NDGRD_997,0
NDGRD_998,0
NDGRD_999,0
NDGRD_1000,0
NDGRD_1001,0
NDGRD_1002,0
NDGRD_1003,0
NDGRD_1004,0
NDGRD_1005,0
NDGRD_1006,0
NDGRD_1007,0
NDGRD_1008,0
NDGRD_1009,0
NDGRD_1010,0
NDGRD_1011,0
NDGRD_1012,0
NDGRD_1013,0
NDGRD_1014,0
NDGRD_1015,0
NDGRD_1016,0
NDGRD_1017,0
NDGRD_1018,0
NDGRD_1019,0
NDGRD_1020,0
NDGRD_1021,0
NDGRD_1022,0
NDGRD_1023,0
NDGRD_1024,0
NDGRD_1025,0
NDGRD_1026,0
NDGRD_1027,0
NDGRD_1028,0
NDGRD_1029,0
NDGRD_1030,0
NDGRD_1031,0
NDGRD_1032,0
NDGRD_1033,0
NDGRD_1034,0
NDGRD_1035,0
NDGRD_1036,0
NDGRD_1037,0
NDGRD_1038,0
NDGRD_1039,0
NDGRD_1040,0
NDGRD_1041,0
NDGRD_1042,0
NDGRD_1043,0
NDGRD_1044,0
NDGRD_1045,0
NDGRD_1046,0
NDGRD_1047,0
NDGRD_1048,0
NDGRD_1049,0
NDGRD_1050,0
NDGRD_1051,0
NDGRD_1052,0
NDGRD_1053,0
NDGRD_1054,0
NDGRD_1055,0
NDGRD_1056,0
NDGRD_1057,0
NDGRD_1058,0
NDGRD_1059,0
NDGRD_1060,0
NDGRD_1061,0
NDGRD_1062,0
NDGRD_1063,0
NDGRD_1064,0
NDGRD_1065,0
NDGRD_1066,0
NDGRD_1067,0
NDGRD_1068,0
NDGRD_1069,0
NDGRD_1070,0
NDGRD_1071,0
NDGRD_1072,0
NDGRD_1073,0
NDGRD_1074,0
NDGRD_1075,0
NDGRD_1076,0
NDGRD_1077,0
