grid_cell_id,waste_brick_network_input_t_per_year
NDGRD_390,0
NDGRD_391,0
NDGRD_392,11.03543674
NDGRD_393,3.073680968
NDGRD_394,0
NDGRD_395,0
NDGRD_396,0
NDGRD_397,4.320591983
NDGRD_398,0
NDGRD_399,0
NDGRD_400,0
NDGRD_401,0
NDGRD_402,0
NDGRD_403,0
NDGRD_404,324.1391017
NDGRD_405,0
NDGRD_406,1.009537621
NDGRD_407,58.9467879
NDGRD_408,0.502611105
NDGRD_409,1.5122389
NDGRD_410,0
NDGRD_411,0
NDGRD_412,2.568123745
NDGRD_413,47.53175204
NDGRD_414,0.689349121
NDGRD_415,0
NDGRD_416,0
NDGRD_417,0
NDGRD_418,0
NDGRD_419,0.091042087
NDGRD_420,0
NDGRD_421,0
NDGRD_422,0
NDGRD_423,0
NDGRD_424,0
NDGRD_425,0
NDGRD_426,0
NDGRD_427,0
NDGRD_428,0
NDGRD_429,0
NDGRD_430,0
NDGRD_431,0
NDGRD_432,0
NDGRD_433,0
NDGRD_434,0
NDGRD_435,0
NDGRD_436,2.947729928
NDGRD_437,8.398807813
NDGRD_438,34.83961198
NDGRD_439,57.70217771
NDGRD_440,0
NDGRD_441,0
NDGRD_442,0
NDGRD_443,0.794988565
NDGRD_444,0.546322876
NDGRD_445,0
NDGRD_446,0
NDGRD_447,0
NDGRD_448,0
NDGRD_449,0
NDGRD_450,0
NDGRD_451,0
NDGRD_452,0
NDGRD_453,0
NDGRD_454,0
NDGRD_455,0
NDGRD_456,0
NDGRD_457,0
NDGRD_458,1.778936748
NDGRD_459,0
NDGRD_460,0
NDGRD_461,0
NDGRD_462,0
NDGRD_463,0
NDGRD_464,2.842992054
NDGRD_465,0
NDGRD_466,0
NDGRD_467,0
NDGRD_468,9.576665393
NDGRD_469,2.704281296
NDGRD_470,3.162177906
NDGRD_471,1367.146871
NDGRD_472,0
NDGRD_473,0
NDGRD_474,0
NDGRD_475,0
NDGRD_476,0
NDGRD_477,0
NDGRD_478,0
NDGRD_479,0
NDGRD_480,0
NDGRD_481,0
NDGRD_482,0
NDGRD_483,4.251223843
NDGRD_484,0
NDGRD_485,0
NDGRD_486,0
NDGRD_487,0
NDGRD_488,21.2280462
NDGRD_489,27.9593533
NDGRD_490,167.6981792
NDGRD_491,320.0243332
NDGRD_492,0
NDGRD_493,2.990836225
NDGRD_494,0
NDGRD_495,0
NDGRD_496,0.817341364
NDGRD_497,14.91092639
NDGRD_498,11.09136024
NDGRD_499,0
NDGRD_500,0
NDGRD_501,0
NDGRD_502,114.7337244
NDGRD_503,2184.677158
NDGRD_504,33.32355176
NDGRD_505,86.19518565
NDGRD_506,0
NDGRD_507,0
NDGRD_508,0
NDGRD_509,0
NDGRD_510,0
NDGRD_511,0
NDGRD_512,0
NDGRD_513,0
NDGRD_514,0
NDGRD_515,0.189268054
NDGRD_516,0.179659708
NDGRD_517,168.4152876
NDGRD_518,6.608259777
NDGRD_519,0
NDGRD_520,18.85018713
NDGRD_521,0
NDGRD_522,0
NDGRD_523,4.262420933
NDGRD_524,2.964540036
NDGRD_525,0
NDGRD_526,0
NDGRD_527,0
NDGRD_528,116.8547734
NDGRD_529,82.18887667
NDGRD_530,0
NDGRD_531,0
NDGRD_532,0
NDGRD_533,0
NDGRD_534,1683.167871
NDGRD_535,249.6998578
NDGRD_536,2.892885965
NDGRD_537,179.3506595
NDGRD_538,35.0618638
NDGRD_539,0
NDGRD_540,0
NDGRD_541,20.492666
NDGRD_542,24.33675271
NDGRD_543,0
NDGRD_544,0
NDGRD_545,40.34439234
NDGRD_546,0
NDGRD_547,0
NDGRD_548,36.64571219
NDGRD_549,20.30793605
NDGRD_550,2.707885051
NDGRD_551,86.54987914
NDGRD_552,0
NDGRD_553,0
NDGRD_554,2.610240601
NDGRD_555,4.661954573
NDGRD_556,7.95508623
NDGRD_557,0
NDGRD_558,545.0269066
NDGRD_559,65.0101838
NDGRD_560,418.891478
NDGRD_561,0
NDGRD_562,0
NDGRD_563,20.2946738
NDGRD_564,1315.987247
NDGRD_565,35.59339728
NDGRD_566,2091.859455
NDGRD_567,14.2211912
NDGRD_568,1.258372707
NDGRD_569,0
NDGRD_570,509.193069
NDGRD_571,283.9977815
NDGRD_572,0
NDGRD_573,0
NDGRD_574,23.90302093
NDGRD_575,0
NDGRD_576,0
NDGRD_577,2.130297943
NDGRD_578,0
NDGRD_579,0
NDGRD_580,6.5172639
NDGRD_581,0
NDGRD_582,0
NDGRD_583,0
NDGRD_584,1.810245063
NDGRD_585,52.85379725
NDGRD_586,1.72451231
NDGRD_587,1.092398869
NDGRD_588,2.329146292
NDGRD_589,2.377777786
NDGRD_590,101.1206876
NDGRD_591,0
NDGRD_592,431.5455833
NDGRD_593,377.9551163
NDGRD_594,11.63873978
NDGRD_595,0
NDGRD_596,26.68047236
NDGRD_597,226.4020983
NDGRD_598,117.4902194
NDGRD_599,12.64641427
NDGRD_600,30.71943395
NDGRD_601,1.937458249
NDGRD_602,0
NDGRD_603,39.49691882
NDGRD_604,163.4133554
NDGRD_605,0
NDGRD_606,0
NDGRD_607,0
NDGRD_608,0
NDGRD_609,0
NDGRD_610,0
NDGRD_611,0
NDGRD_612,1.598973955
NDGRD_613,10.75974784
NDGRD_614,0
NDGRD_615,1.80217506
NDGRD_616,64.92106005
NDGRD_617,14.58056439
NDGRD_618,32.79147312
NDGRD_619,0
NDGRD_620,0
NDGRD_621,2.874428705
NDGRD_622,380.3015345
NDGRD_623,1312.294879
NDGRD_624,24.65181554
NDGRD_625,310.9270996
NDGRD_626,91.0985455
NDGRD_627,167.1234715
NDGRD_628,298.2917776
NDGRD_629,113.8944951
NDGRD_630,212.5751061
NDGRD_631,787.4542805
NDGRD_632,314.3765499
NDGRD_633,26.77856399
NDGRD_634,39.71492087
NDGRD_635,1604.764199
NDGRD_636,89.40676534
NDGRD_637,0
NDGRD_638,0
NDGRD_639,0
NDGRD_640,0
NDGRD_641,0
NDGRD_642,0
NDGRD_643,0
NDGRD_644,1.974865393
NDGRD_645,10.29292807
NDGRD_646,0
NDGRD_647,0
NDGRD_648,0
NDGRD_649,0
NDGRD_650,0.777985173
NDGRD_651,0.653677072
NDGRD_652,16.29992221
NDGRD_653,0
NDGRD_654,2.384333582
NDGRD_655,0
NDGRD_656,491.7482464
NDGRD_657,392.3452835
NDGRD_658,3.556692728
NDGRD_659,674.6583472
NDGRD_660,1905.821375
NDGRD_661,474.5720389
NDGRD_662,703.4473299
NDGRD_663,864.4944084
NDGRD_664,649.362378
NDGRD_665,1811.751167
NDGRD_666,38.92794028
NDGRD_667,241.3794524
NDGRD_668,969.5535053
NDGRD_669,1.680301073
NDGRD_670,0
NDGRD_671,0
NDGRD_672,0
NDGRD_673,0
NDGRD_674,0
NDGRD_675,0
NDGRD_676,0
NDGRD_677,0
NDGRD_678,0
NDGRD_679,0
