grid_cell_id,waste_brick_network_input_t_per_year
NDGRD_449,0
NDGRD_450,0
NDGRD_451,0
NDGRD_452,0
NDGRD_453,0
NDGRD_454,0
NDGRD_455,0
NDGRD_456,0
NDGRD_457,0
NDGRD_458,1.473271045
NDGRD_459,0
NDGRD_460,0
NDGRD_461,0
NDGRD_462,0
NDGRD_463,0
NDGRD_464,4.699775133
NDGRD_465,0
NDGRD_466,0
NDGRD_467,0
NDGRD_468,2.565299747
NDGRD_469,0
NDGRD_470,3.976017005
NDGRD_471,1692.112776
NDGRD_472,0
NDGRD_473,0
NDGRD_474,0
NDGRD_475,0
NDGRD_476,0
NDGRD_477,0
NDGRD_478,0
NDGRD_479,0
NDGRD_480,0
NDGRD_481,0
NDGRD_482,0.676731508
NDGRD_483,0
NDGRD_484,0
NDGRD_485,0
NDGRD_486,0
NDGRD_487,0
NDGRD_488,7.01966937
NDGRD_489,21.46667972
NDGRD_490,165.4750196
NDGRD_491,300.6909751
NDGRD_492,0
NDGRD_493,1.855620416
NDGRD_494,0
NDGRD_495,0
NDGRD_496,0.954168101
NDGRD_497,9.42999575
NDGRD_498,33.39305502
NDGRD_499,0
NDGRD_500,0
NDGRD_501,0
NDGRD_502,76.18077199
NDGRD_503,2122.509416
NDGRD_504,6.748461279
NDGRD_505,94.39162071
NDGRD_506,0
NDGRD_507,0
NDGRD_508,0
NDGRD_509,0
NDGRD_510,0
NDGRD_511,0
NDGRD_512,0
NDGRD_513,0
NDGRD_514,0
NDGRD_515,0
NDGRD_516,2815.785813
NDGRD_517,133.9676561
NDGRD_518,14.35184938
NDGRD_519,0
NDGRD_520,11.68686659
NDGRD_521,0
NDGRD_522,0
NDGRD_523,7.975316181
NDGRD_524,0.922989425
NDGRD_525,0
NDGRD_526,0
NDGRD_527,0
NDGRD_528,136.086446
NDGRD_529,101.6225835
NDGRD_530,11.23864155
NDGRD_531,0
NDGRD_532,0
NDGRD_533,0
NDGRD_534,1718.286505
NDGRD_535,327.3450238
NDGRD_536,13.3590811
NDGRD_537,205.1634545
NDGRD_538,8.74039458
NDGRD_539,0
NDGRD_540,0
NDGRD_541,29.42534729
NDGRD_542,14.63498048
NDGRD_543,0
NDGRD_544,0
NDGRD_545,34.20761689
NDGRD_546,1.247005424
NDGRD_547,0
NDGRD_548,24.780598
NDGRD_549,23.37018898
NDGRD_550,10.56684757
NDGRD_551,93.16186386
